timestamp,browser,session,measure,duration_ms"2026-08-05T14:50:37.779Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","b86ab4c0-583c-49fd-b0f5-a41dc3edb65f","ev:google-pay:get-app-sdk-config",95.8
"2026-08-05T14:50:37.826Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","b86ab4c0-583c-49fd-b0f5-a41dc3edb65f","ev:google-pay:get-merchant",47.3
"2026-08-05T14:50:37.827Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","b86ab4c0-583c-49fd-b0f5-a41dc3edb65f","ev:google-pay:mount",262.6
"2026-08-05T14:50:52.351Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","b86ab4c0-583c-49fd-b0f5-a41dc3edb65f","ev:google-pay:authorize-to-done",2064.5
"2026-08-05T14:50:52.361Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","b86ab4c0-583c-49fd-b0f5-a41dc3edb65f","ev:google-pay:tap-to-sheet",13109.8
"2026-08-05T14:50:56.116Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","b86ab4c0-583c-49fd-b0f5-a41dc3edb65f","ev:google-pay:tap-to-sheet",2565.5
"2026-08-05T14:50:58.935Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","b86ab4c0-583c-49fd-b0f5-a41dc3edb65f","ev:google-pay:tap-to-sheet",1921.1
"2026-08-05T14:51:05.682Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","b86ab4c0-583c-49fd-b0f5-a41dc3edb65f","ev:google-pay:authorize-to-done",2055.2
"2026-08-05T14:51:05.683Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","b86ab4c0-583c-49fd-b0f5-a41dc3edb65f","ev:google-pay:authorize-to-done",2055.7
"2026-08-05T14:51:05.690Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","b86ab4c0-583c-49fd-b0f5-a41dc3edb65f","ev:google-pay:tap-to-sheet",5709.0
"2026-08-05T14:51:23.665Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","b86ab4c0-583c-49fd-b0f5-a41dc3edb65f","ev:google-pay:tap-to-sheet",4216.7
"2026-08-05T14:51:28.055Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","b86ab4c0-583c-49fd-b0f5-a41dc3edb65f","ev:google-pay:tap-to-sheet",1724.4
"2026-08-05T14:51:29.795Z","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36","92b3e9d6-d6c4-406a-8d4a-ed6a3b7b7020","ev:google-pay:get-app-sdk-config",42.8
